artist_name,total_plays,total_minutes,skip_rate,loyalty_score
aUra Lu,1,1.6420333333333332,0.0,1.0
accelerate,200,326.5662166666667,0.14,172.0
an/tunes,2,0.5323499999999999,1.0,0.0
bax iv,1,0.7510166666666667,1.0,0.0
bbno$,1,1.4996166666666666,1.0,0.0
blackbear,86,259.87718333333333,0.20930232558139536,68.0
digV,2,1.0185666666666668,1.0,0.0
eevee,2,3.41255,0.0,2.0
egethevac,1,0.1346333333333333,1.0,0.0
fam0uz,1,3.3523666666666667,0.0,1.0
fr4me Archive,3,1.6245333333333334,0.6666666666666666,1.0
framed,2,2.0922666666666667,0.5,1.0
frxzen,4,12.080083333333333,0.25,3.0
fun.,2,4.1897166666666665,0.5,1.0
gamuri shun,2,1.8053833333333336,0.5,1.0
gnash,47,111.33866666666667,0.425531914893617,27.000000000000004
grandson,1,0.2553,1.0,0.0
iKON,4,13.967033333333333,0.0,4.0
inc1603777,4,6.732866666666666,0.5,2.0
insømnia,1,0.57,0.0,1.0
j-hope,50,133.26623333333333,0.14,43.0
keshxrd,3,6.05735,0.6666666666666666,1.0
kuroneko,1,1.8272333333333333,0.0,1.0
luvbyrd,1,0.2699,1.0,0.0
mj apanay,39,118.8377,0.1282051282051282,34.0
neverwaves,59,177.75313333333332,0.06779661016949153,55.0
noevdv,1,0.4764333333333333,1.0,0.0
nur,1,0.0659166666666666,1.0,0.0
onve,1,1.55145,1.0,0.0
owlh,1,0.3262,1.0,0.0
pearl,23,34.61881666666667,0.6086956521739131,9.0
poorasike,4,8.93135,0.25,3.0
sad ezra,6,15.032166666666667,0.0,6.0
squeeda,3,6.8103,0.0,3.0
sufr,11,32.37218333333333,0.0,11.0
tnbee,6,11.19135,0.6666666666666666,2.0
vlows,1,0.7196166666666667,0.0,1.0
why mona,47,109.14328333333333,0.2127659574468085,37.0
wolf.cryman,1,2.1113,1.0,0.0
zandros,8,13.97485,0.375,5.0
¥$,12,13.523133333333332,0.9166666666666666,1.0000000000000004
Ólafur Arnalds,2,8.836616666666666,0.0,2.0
Øfdream,1,3.49295,0.0,1.0
фрози,7,8.992883333333333,0.7142857142857143,2.0
로피 뮤직,2,6.964933333333334,0.0,2.0
